"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",4.19591,"E"
"AUS","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",4.31418,
"AUS","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2019",3.59442,
"BEL","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",17.04697,
"CZE","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",10.02151,"E"
"CZE","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",9.77995,"E"
"DNK","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",5.48224,"E"
"DNK","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",6.72875,"E"
"FRA","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",13.12637,"E"
"FRA","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",13.06792,
"GRC","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",14.07484,"E"
"GRC","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",14.05942,"E"
"HUN","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",3.86403,"E"
"HUN","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",3.63504,"E"
"JPN","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",18.88952,
"KOR","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",30.81474,"E"
"KOR","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",29.86421,
"LUX","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",2.77051,
"LUX","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",3.1756,
"MEX","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",19.46583,"E"
"MEX","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",19.68704,
"MEX","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2019",19.80028,
"NLD","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",8.62117,"E"
"NLD","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",8.81392,"E"
"POL","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",17.59132,"E"
"POL","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",17.06563,"E"
"PRT","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",6.51404,"E"
"SVK","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",0.72031,"E"
"SVK","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",0.71347,"E"
"ESP","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",28.20063,
"ESP","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",27.6069,
"TUR","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",26.07494,"E"
"CHN","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",20.83301,"E"
"CHN","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",20.71736,
"CHN","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2019",20.67403,
"CRI","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",2.6295,"E"
"EST","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",14.48618,"E"
"EST","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",13.00107,
"ISR","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",42.43816,"E"
"ISR","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",39.29329,"E"
"LVA","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",0.49391,"E"
"LVA","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",0.50006,"E"
"LTU","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",1.30962,"E"
"LTU","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",1.28422,"E"
"RUS","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",1.48321,
"RUS","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",1.49455,
"RUS","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2019",1.49074,
"SVN","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",2.89666,"E"
"SVN","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",2.98332,"E"
"OECD","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",8.6117,
"OECD","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",8.6117,
"OECD","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2019",8.6117,
"OECDE","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2017",10.19821,
"OECDE","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2018",10.19821,
"OECDE","WATERABST","TOT","GROSSABSTRACTIONPCTOTALRR","A","2019",10.19821,
