"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WATERABST","TOT","MLN_M3","A","2017",17105.71525,
"AUS","WATERABST","TOT","MLN_M3","A","2018",17587.87967,
"AUS","WATERABST","TOT","MLN_M3","A","2019",14653.58101,
"BEL","WATERABST","TOT","MLN_M3","A","2017",4392.08057,
"CZE","WATERABST","TOT","MLN_M3","A","2017",1630.40002,
"CZE","WATERABST","TOT","MLN_M3","A","2018",1591.09998,
"DNK","WATERABST","TOT","MLN_M3","A","2017",895.79797,
"DNK","WATERABST","TOT","MLN_M3","A","2018",1099.47705,
"FRA","WATERABST","TOT","MLN_M3","A","2017",27071.31445,
"FRA","WATERABST","TOT","MLN_M3","A","2018",26950.76563,
"GRC","WATERABST","TOT","MLN_M3","A","2017",10133.88281,
"GRC","WATERABST","TOT","MLN_M3","A","2018",10122.7832,
"HUN","WATERABST","TOT","MLN_M3","A","2017",4498.90479,
"HUN","WATERABST","TOT","MLN_M3","A","2018",4232.28516,
"JPN","WATERABST","TOT","MLN_M3","A","2017",79336,
"KOR","WATERABST","TOT","MLN_M3","A","2017",23419.19922,
"KOR","WATERABST","TOT","MLN_M3","A","2018",22696.80078,
"LUX","WATERABST","TOT","MLN_M3","A","2017",45.55,
"LUX","WATERABST","TOT","MLN_M3","A","2018",52.21,
"MEX","WATERABST","TOT","MLN_M3","A","2017",87841.52344,
"MEX","WATERABST","TOT","MLN_M3","A","2018",88839.73438,
"MEX","WATERABST","TOT","MLN_M3","A","2019",89350.73698,
"NLD","WATERABST","TOT","MLN_M3","A","2017",7916.39014,
"NLD","WATERABST","TOT","MLN_M3","A","2018",8093.37988,
"POL","WATERABST","TOT","MLN_M3","A","2017",10651.98633,
"POL","WATERABST","TOT","MLN_M3","A","2018",10333.66797,
"PRT","WATERABST","TOT","MLN_M3","A","2017",4793.87744,
"SVK","WATERABST","TOT","MLN_M3","A","2017",578.59998,
"SVK","WATERABST","TOT","MLN_M3","A","2018",573.09998,
"ESP","WATERABST","TOT","MLN_M3","A","2017",30232.19922,
"ESP","WATERABST","TOT","MLN_M3","A","2018",29595.69922,
"TUR","WATERABST","TOT","MLN_M3","A","2018",61093.57813,
"EST","WATERABST","TOT","MLN_M3","A","2017",1788.55005,
"EST","WATERABST","TOT","MLN_M3","A","2018",1605.18994,
"ISR","WATERABST","TOT","MLN_M3","A","2017",1201,
"ISR","WATERABST","TOT","MLN_M3","A","2018",1112,
"SVN","WATERABST","TOT","MLN_M3","A","2017",929.59998,
"SVN","WATERABST","TOT","MLN_M3","A","2018",957.40997,
"CHN","WATERABST","TOT","MLN_M3","A","2017",596220,
"CHN","WATERABST","TOT","MLN_M3","A","2018",592910,
"CHN","WATERABST","TOT","MLN_M3","A","2019",591670,
"LVA","WATERABST","TOT","MLN_M3","A","2017",180.965,
"LVA","WATERABST","TOT","MLN_M3","A","2018",183.217,
"RUS","WATERABST","TOT","MLN_M3","A","2017",62648,
"RUS","WATERABST","TOT","MLN_M3","A","2018",63127,
"RUS","WATERABST","TOT","MLN_M3","A","2019",62966,
"LTU","WATERABST","TOT","MLN_M3","A","2017",291.61899,
"LTU","WATERABST","TOT","MLN_M3","A","2018",285.96228,
"CRI","WATERABST","TOT","MLN_M3","A","2017",2917.06689,
